"id","title","authors","year","doi","abstract"
"011","Assessment of the balance of the competence formation process: Analysis of the curricula of Russian universities","Sokolova, T.N.; Gusyatnikov, V.N.; Bezrukov, A.I.; Kayukova, I.V.","2021","10.32744/PSE.2021.5.41","Introduction. Curricula are the main tool for organizing the educational process in Russian universities. The quality of education and the possible level of formation of the graduate's competencies directly depend on their validity and balance. Going on a competence model of education demanded change in the principles of drawing up of curricula. However, until now, the quality of curricula is assessed according to formal criteria that are weakly related to the competence-based approach. Also, answers to simple questions have not been formulated: how many disciplines can and should form one competence, how many competencies can be formed within one discipline and within one semester, how the presence of gaps in the process of forming competencies affects the final level of their formation. The aim of the work is to propose quantitative characteristics for assessing the balance and consistency of the process of forming competencies based on a statistical analysis of the current curricula of Russian universities. Materials and methods. As a material for the study, curricula were chosen in the specialty ""Applied Informatics"" of federal state budgetary and autonomous educational organizations (45 institutes and universities in total). Methods of mathematical and statistical analysis were applied: frequency analysis, methods for comparing means, analysis of standard deviations. Research results. On average, each competency forms from 2 to 8 disciplines. The largest number of disciplines in most curricula forms 1, 2 or 3 competencies. There are relatively few disciplines that form more than 4 competencies in the curricula of most universities. It is shown that the lack of continuity and development, the presence of gaps in the process of forming competence can reduce the achieved level of competence to 30% of the possible due to forgetting. The discussion of the results. The presence of deviations from the average indicators may in some cases indicate an insufficient balance of curricula. In the future, it is possible to embed the proposed methodology into an intelligent system for assessing the characteristics of the educational process within the framework of the university's QMS. © 2021 LLC Ecological Help. All rights reserved."
"012","A competency-based chemical engineering curriculum at the University of Campinas in Brazil","Franco, L.F.M.; da Costa, A.C.; de Almeida Neto, A.F.; Moraes, Â.M.; Tambourgi, E.B.; Miranda, E.A.; de Castilho, G.J.; Doubek, G.; Dangelo, J.V.H.; Fregolente, L.V.; Lona, L.M.F.; de La Torre, L.G.; Alvarez, L.A.; da Costa, M.C.; Martinez, P.F.M.; Ceriani, R.; Zemp, R.J.; Vieira, R.P.; Maciel Filho, R.; Vianna, S.S.V.; Bueno, S.M.A.; Vieira, M.G.A.; Suppino, R.S.","2023","10.1016/j.ece.2023.04.001","Engineering education is being called upon to move to a student-centered teaching. New challenges demand a curriculum that considers a set of competencies to enable engineers to learn autonomously and to develop solid technical and relevant soft skills. We present a top-down methodology for developing a competency-based curricula, which was employed to conceive a new chemical engineering curriculum at the University of Campinas. Our methodology is based on four main steps: i) definition of the desired profile of students with a bachelor's degree in Chemical Engineering and their underlying competencies; ii) delineation of learning-experiences itineraries; iii) a macro conception of the curriculum entailing the logical-temporal arrangement of its learning-experiences itineraries; and the iv) establishment of each curricular component with its learning objectives. This new curriculum is integrated into the external society by experiences that engage students to practice social responsibility and develop technology based on the needs of society. Graduates’ profile and competencies were defined based on extensive surveys. We discuss how active learning methodologies can be an intrinsic part of the curriculum development process and how assessment strategies must fit the learning goals established for each curricular component. Finally, we discuss the current challenges of implementing and evaluating a competency-based curriculum. © 2023 The Authors"
"013","The challenges of assessing the level of professional competence formation","Babiukh, V.; Kupriyanov, R.; Valeyeva, N.; Valeyeva, E.","2017","10.1007/978-3-319-50340-0_50","Implementation of competence-based approach in Higher Engineering Education System has caused the challenges of assessing the level of competence formation. One of the ways of solving this issue is using the functional and activity approach for assessing the level of competence formation. © Springer International Publishing AG 2017."
"014","The 5D Competencies Intelligence Model for Managing Innovation Projects","Bushuyev, S.; Bushuyeva, N.; Bushuieva, V.; Bushuiev, D.","2022","","Existing Intelligence Models for managing innovative projects and programs have been explored. The competency-based approach is considered the basis for building an Intelligence Model for managing innovative projects. Proposed 5D groups of Competencies Intelligence Model for Managing Innovation Projects. The model is based on the SMARTification of the system of five groups of interrelated competencies: emotional, social, cognitive, business and technical. For each group of competencies, the mechanisms of SMARTification and construction of the Intelligence Model are defined. To assess the competence level of the project team, the IPMA Delta model was used. An example of the application Intelligence Model to the implementation of the double degree project of the Kyiv National University of Civil Engineering and Architecture and the Dortmund University of Applied Sciences within the framework of the implementation of European Union DAAD VIMACS and ERASMUS+ WORK4CE projects is presented. During the implementation of the program, the levels of competencies that ensure the success of the project and the existing competencies of the project team were assessed. Based on the results, bottlenecks were identified and a training program for project participants in certain competencies was proposed. Re-assessment of the level of competencies allowed the project team to be confident in its success. © 2020 Copyright for this paper by its authors."
"015","Competency Based Education and Continuous Assessment in Laboratory to acquire higher order learning levels: Challenges, Process and Outcomes","Sampath Kumar, V.; Bisoyi, S.K.; Veerendra Kumar, A.N.","2022","","Competency based education and its continuous assessment creates a strong interest amongst all stakeholders involved in laboratories. Hands on experience and project-based learning provide an opportunity for a personalized path to acquire higher order learning levels. A continuous assessment procedure has been implemented to impart knowledge-based on skill centric environment for lifelong learning. Five assessment components have been designed for the continuous improvement of skills all of which are re-quired for higher order competencies. Laboratory assess-ments components have been designed by considering the teaching learning process, methodologies, complex engineering analysis, sustainable development, professional engineering practices and Continuous Improvement. These assessment components have brought about a radical transfor-mation in Academic Performance Index (API), Success Index (SI), Placement, Higher Studies, Entrepreneurship (PHE), attainment of Program Outcomes (PO's) and Program Specific Outcomes (PSO's). These outcomes indicate that students/graduates have acquired a higher order competency along with professional learning and hands on experi-ence. The proposed methodology for laboratory performance assessment components addresses the problems existing in conventional laboratory assessment methodology. In conventional methodologies, performance assessment is done based on laboratory report submitted by each group. The big-gest drawback is that there are no specific guidelines for grading reports, large variance in assessment of senior and junior staff and no continuous evaluation system. Aptitude brilliance can be improved through knowledge component assessment. In addition, written work component is vital in improving lifelong learning and soft skills or professional skills. The analysis of Questions Answered indicates the continuous reading practice which prepares them to grasp technical topics leading to benefits in employment as well as an improvement in individual Academic Performance. Interactive component gives them experience and opportunity for group discussion. Also, it helps in striking impactful conversations to address the needs, build network, perspective and intrinsic drivers which influence continuous improvement. Punctual-ity component is most critical and also key component to transform individual component to become a competent pro-fessional. It also helps to balance their professional and per-sonal life. Here outcomes are observed considering three engineering streams and over 8000 data points for three consecutive Academic Years. This paper result provides implications for academicians, Employers and Human Resource profession-als of Industry. Also, this paper helps identify the Industry Academia gap existing between the skills needed in the industry and the university education the students receive. © 2022, Rajarambapu Institute Of Technology. All rights reserved."
"016","STUDIFICATION - PROCEDURES TO FORMALIZE OUTSIDE CAMPUS INFORMAL LEARNING","Tiili, J.A.; Tapani, S.A.; Ruokolainen, J.","2021","","Today, students enter universities with more varied backgrounds than before. During their studies, they may work actively and take part in different societal activities. These activities can develop competencies that are already included in their academic curriculum. Studifying work or societal activity means recognizing and utilizing this competence development as a part of learning. In this way, several advantages are found. For example, study times are shortened, learning environments are widened and self-regulation skills are developed while students will be more and more owners of their learning processes. Studification is the next step after recognizing prior learning. It can have a significant role in the current pandemic and future post-pandemic situation, where we need to find alternative ways to study. Studification of work or similar activity is not easy. It requires well-defined processes and procedures. Curriculums must be competence-based so that the learning outcomes from work fit with competence-based assessment criteria. It also requires a change in the learning atmosphere among the teachers, organizational leaders, and students. Leadership must support the new ways to study, and finally, students must be ready for active learning ownership. © 2023 Blended Learning in Engineering Education: Challenging, Enlightening - and Lasting."
"017","Challenge-Based and Competency-Based Assessments in an Undergraduate Programming Course","Sidhu, G.; Srinivasan, S.; Muhammad, N.","2021","10.3991/ijet.v16i13.23147","In this work, we investigate an optimal assessment strategy to measure student learning in the first-year undergraduate engineering course at W Booth School of Engineering Practice and Technology at McMaster. Specifically, we evaluate and compare challenge-based and competency-based assessment strategies. In the challenge-based approach, the students are required to design a C++-based application that meet the required design objectives. The competency-based assessment involves assessing learning by asking a variety of pointed questions pertaining to a single or a small group of concepts. After studying the performance of 207 students, we found that in the challenge-based assessment, due to the complex nature of the questions that assess numerous concepts simultaneously, students who are not very thorough with even one or two concepts fared very poorly since they were unable to finish the challenge and present a functional prototype of the program. On the other hand, the competency-based assessment allowed for a more balanced approach in which the students’ learning was reflected more accurately by their performance in the various assessments. © 2,1,ssriniv@mcmaster.ca"
"018","The reformulation of methodological strategies in a Physics course - implementing assessment by competences in an Engineering program","Cutri, R.; Stem, N.; Neto, O.M.","2023","","The Brazilian engineering programs are required, according to the new curriculum guidelines, to implement competencebased assessment in their pedagogical projects. Therefore, the Maua Institute of Technology has been promoting discussions since 2020 to reformulate its programs to comply with this demand. The reformulation aims to restructure the organization and to define the contribution of each course into the general engineering programs competences while reformulating their methodologies to demonstrate the development of these competences by the students. This paper presents this reformulation carried out to implement competence-based evaluation in the core physics course, in this University Center. Additionally, it discusses the desired evidence that validates the development of the competence's expectations, as well as the process of adopting headings, particularly in the development of laboratory activities. The paper presents the sequence of discussions, adopted premises, initial proposed plan, implementation in 2021, changes in 2022, and adaptations for 2023. It also includes the professors' perception of the discipline and the history of the teachers' training to develop this new competence-based assessment culture. © 2023 University of Minho. All rights reserved."
"019","Evolution of Educational Paradigms: From Knowledge Transfer to Competency-Based Learning in Computer Science","González-Guerra, L.H.; Pérez-Murueta, P.","2025","10.1109/EDUCON62633.2025.11016528","In an era marked by rapid technological advancements and evolving educational needs, students require a learning paradigm that fosters intrinsic motivation and cultivates critical thinking and creativity. This approach should equip learners with both disciplinary expertise and essential cross-cutting competencies. The traditional teacher-centered model - where knowledge is primarily delivered through lectures, and students engage with course material mainly through homework assignments outside the classroom - has become increasingly ineffective in meeting the needs of today's learners. In contrast, competency-based learning offers a dynamic, student-centered alternative that actively involves students in their educational journey. Competency-based learning encourages deeper engagement by emphasizing skill development alongside knowledge acquisition and ensures that students acquire the practical competencies necessary for success in an increasingly complex world. This paradigm allows instructors to introduce a variety of challenges throughout the semester, guiding students through foundational and advanced concepts. The primary objective of this paper is to examine the shift from traditional knowledge transfer models to competency-based learning within the context of the computer science curriculum. Additionally, it seeks to assess the impact of this transition on student learning outcomes, particularly concerning the development of technical skills and critical thinking abilities. Through this exploration, the paper aims to highlight the potential benefits and challenges of adopting a competency-based approach in higher education, offering insights into how this model can enhance student preparedness for the demands of the modern workforce. © 2025 IEEE."
"020","Competency-based Assessment of Industrial Engineering Graduates: Basis for Enhancing Industry Driven Curriculum","Curbano, R.J.P.; Madrid, S.G.Y.; Narvacan, C.T.; Puentenegra, J.R.","2018","10.1109/IEEM.2018.8607279","The main objective of the study was to assess the competency, skills, and values of Industrial Engineering graduates as well as courses relevant to the industry need. The researchers used purposive sampling as research design of the study. Due to limited time of the study a total of 142 respondents answered the survey questionnaire through online. The statistical treatment used in the study were frequency percentage, weighted mean and chi-square. Results showed that majority of the respondents working at Electronics industry, college degree holder, 1-3 years of service, quality assurance engineer and working as technical. The assessment in terms of competency production planning and control function was highly important. In terms of skills having strategic and critical thinking was considered highly important. In terms of values industry considered highly important having moral values in the workplace. The courses identified as highly important are the strategic planning and control, engineering ethics and values, safety management, and probability and statistics. It was found out that in terms of relationship skills and values were significant while competencies was not significant to job classification. © 2018 IEEE."
"021","Development of Competency-Based Curriculum in Off-Grid Solar Cell Installation Work Using IoT Technology for Energy Monitoring","Kaewtip, P.; Thongchaisuratkrul, C.","2023","10.1109/iSTEM-Ed59413.2023.10305783","The paper aims to present the development of a competence-based curriculum for off-grid solar installation using IoT technology to enhance the installation and operation skill as well as the application of IoT technology for energy monitoring. The research data is collected from a training course in four-years student with a target group of 30 undergraduate students of electrical engineering and education program in electrical power major. The research findings indicate that the tasks, abilities, behavioral objectives, skills, content, exercises, and assessments of the curriculum align cohesively. The evaluation of the curriculum of suitability in terms of details, usability, and content relevance indicates the highest level of suitability. Additionally, the satisfaction assessment results of course users were at a highest level. The assessment of the developed curriculum's effectiveness meets the criteria of E1/E2, achieving an efficiency score of 86.41/86.89 respectively, demonstrating its high performance.  © 2023 IEEE."
"022","A scaffold and competency-based education approach to introduce innovation-thinking frameworks","Bosman, L.; Arumugam, S.","2019","","Over the past several years, interest in competency-based education has steadily increased particularly in relation to vocational education, which prepares individuals for careers requiring specific craft, trade, or technical skills. In these cases, competencies are commonly “obtained and demonstrated” through distance learning by watching short videos, completing assignments, and passing online assessments demonstrating student ability to accomplish a series of learning objectives. This approach to competency-based education ensures students are able to master ""doing"" but provides little emphasis on ""thinking."" As such, little is known about how to incorporate competency-based education into traditional and professional bachelor degree programs such as engineering, which requires a greater focus on knowledge and skill integration. The purpose of this paper is to highlight a new approach to learning that goes beyond the proverbial ""checking boxes"" to provide an approach for demonstrating the integration of abilities and reflection. This innovative and experimental approach offers three unique attributes. First, it is competency-based in that students are required to demonstrate mastery of meeting core innovative competencies through submission of an artifact (“transdisciplinary-doing”) and reflection (“transdisciplinary-thinking”). Second, it is transdisciplinary in that learning experiences integrate the humanities into engineering, design, and technology skill sets. Finally, it is scaffold in that instruction of each of the four modules builds on the other, further enhancing and grounding the learning experience. This paper will explain our unique yet standardized approach through a semester-long course introducing engineering and technology students to innovation-related frameworks as an immersive approach to increase deeper transdisciplinary thinking through innovation. This funnel method is intentionally applied to guide students from (a) System's Thinking - big picture, holistic perspective to (b) Design Thinking - human-centered approach to problem solving to (c) Problem-Market Fit Analysis - value proposition identification, connecting customer needs to features of the product bundle to (d) Business Model Development - identifying and evaluating key abilities required to support bringing a new product to market. This funnel down innovation approach assists students in narrowing their scope and, at the same time, offers them a continuous push towards transdisciplinary doing and thinking. © American Society for Engineering Education, 2019"
"023","Competence-Based Assessment of Programming Assignments","Plosch, R.; Groher, I.; Hofer, A.","2024","10.1109/CSEET62301.2024.10662988","In recent years, computer science education has increasingly focused on the development and application of automated code assessment methods. Test-based assessments of student submissions generate large quantities of data that could be used for learning analytics. Existing literature highlights a predominant use of unit tests for grading rather than for extracting insights into students' challenges in learning programming concepts. Moreover, competence models, which systematically outline required learning outcomes, are increasingly important during curriculum design. We introduce a novel approach for systematically developing programming assignments aligned with competence models. This method also aids educators in creating unit tests that support competence-based learning analytics. As our method maps competences to individual test cases and thereby quantifies a student's proficiency in an assignment, this helps educators to evaluate, whether students have the ability to understand and master the required competences. Experimental application of our method demonstrated enhanced clarity in understanding student assignments and a considerable improvement in the quality of learning analytics data.  © 2024 IEEE."
"024","Competency based training in robotic surgery: benchmark scores for virtual reality robotic simulation","Raison, N.; Ahmed, K.; Fossati, N.; Buffi, N.; Mottrie, A.; Dasgupta, P.; Van Der Poel, H.","2017","10.1111/bju.13710","Objectives: To develop benchmark scores of competency for use within a competency based virtual reality (VR) robotic training curriculum. Subjects and Methods: This longitudinal, observational study analysed results from nine European Association of Urology hands-on-training courses in VR simulation. In all, 223 participants ranging from novice to expert robotic surgeons completed 1565 exercises. Competency was set at 75% of the mean expert score. Benchmark scores for all general performance metrics generated by the simulator were calculated. Assessment exercises were selected by expert consensus and through learning-curve analysis. Three basic skill and two advanced skill exercises were identified. Results: Benchmark scores based on expert performance offered viable targets for novice and intermediate trainees in robotic surgery. Novice participants met the competency standards for most basic skill exercises; however, advanced exercises were significantly more challenging. Intermediate participants performed better across the seven metrics but still did not achieve the benchmark standard in the more difficult exercises. Conclusion: Benchmark scores derived from expert performances offer relevant and challenging scores for trainees to achieve during VR simulation training. Objective feedback allows both participants and trainers to monitor educational progress and ensures that training remains effective. Furthermore, the well-defined goals set through benchmarking offer clear targets for trainees and enable training to move to a more efficient competency based curriculum. © 2016 The Authors BJU International © 2016 BJU International Published by John Wiley & Sons Ltd"
"025","Evaluation procedures of the university graduates' readiness for railway professional activities in the english-speaking countries","Isaeva, T.Y.; Bessarabova, O.N.; Savchenko, I.V.; Shefieva, E.S.; Goryunova, E.R.","2016","10.17485/ijst/2016/v9i31/88593","This article presents an analysis of the system of engineering education in general and railway engineering training, particularly in the USA, Great Britain, Australia and Singapore. These countries were chosen to be the most advanced in the sphere of introducing professional standards and qualification requirements into the process of engineering education that are carried out on the principles of a competency-based approach. The objective of this article is to single out the most effective procedures of evaluation of engineering competences as well as the algorithm of setting correspondence between educational programmes and national professional standards. On the basis of examining a broad range of governmental, cooperative and educational documents, the authors investigated some issues in technical higher education, assessment practices of graduates' vocational readiness, and ideological concepts towards learning outcomes. Currently, there are various schemes of organising engineering education, however, all of them are directed at enhancing the quality of training, introducing competency-oriented methods and technologies, and searching for the most effective ways to make engineering education competitive on the world market. The review presented in this article is of a certain interest for the scientific community, researchers of this problem, and bodies of higher vocational education in the sphere of railway transport."
